FIPS,State,County,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_ADULTS13,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,PCT_HSPA09,RECFAC07,RECFAC12,PCH_RECFAC_07_12,RECFACPTH07,RECFACPTH12,PCH_RECFACPTH_07_12,NATAMEN
01001,AL,Autauga,12.3,11.8,34.1,30.5,32.4,12.4,13.5,1.1,19.4,5,5,0,0.100333105911627,0.090067370393054,-10.2316532766509,4
01003,AL,Baldwin,11.4,11.8,25.5,26.6,32.4,10.8,13.3,2.5,19.4,17,20,17.6470588235294,0.0983710904724706,0.104827297028146,6.56311374070045,4
01005,AL,Barbour,14,14.2,37,37.3,32.4,20.8,18.6,-2.2,19.4,1,1,0,0.0336292709174065,0.0367633542884453,9.31951031212089,4
01007,AL,Bibb,11.8,11.1,34,34.3,32.4,15.4,13.7,-1.7,19.4,2,0,-100,0.0930882010705143,0,-100,3
01009,AL,Blount,12.6,14,32,30.4,32.4,19.9,18.5,-1.4,19.4,3,1,-66.6666666666666,0.0527556008862941,0.0172932590876077,-67.2200509574701,4
01011,AL,Bullock,15.6,17.5,39.4,42.1,32.4,15.6,17.6,2,19.4,0,0,0,0,0,0,3
01013,AL,Butler,16.6,16,40.8,38.3,32.4,7.7,14.4,6.7,19.4,0,1,,0,0.0492441030186635,,3
01015,AL,Calhoun,14.2,13.9,33.6,33.2,32.4,15.1,13.1,-2,19.4,8,7,-12.5,0.070916956244238,0.0596780793888965,-15.8479402537171,4
01017,AL,Chambers,16.2,15,35.2,35.4,32.4,7,11.7,4.7,19.4,2,0,-100,0.0575854424001612,0,-100,3
01019,AL,Cherokee,13.2,13.6,30.6,31.4,32.4,14.3,15.4,1.1,19.4,1,1,0,0.040859687831985,0.0384304984435648,-5.94519810921949,4
01021,AL,Chilton,11.9,12.5,35.3,38.3,32.4,14.2,17.4,3.2,19.4,1,2,100,0.023606062036731,0.0456423012848308,93.3499167028002,4
01023,AL,Choctaw,16.9,17.3,38.3,38.9,32.4,5.6,7,1.4,19.4,0,0,0,0,0,0,4
01025,AL,Clarke,14.7,15.7,35.4,36,32.4,18.3,15.8,-2.5,19.4,1,2,100,0.0378558449424591,0.0794880966575255,109.975756130519,4
01027,AL,Clay,14.8,14.7,34.3,35.3,32.4,14.1,12.3,-1.8,19.4,0,0,0,0,0,0,4
01029,AL,Cleburne,12.4,13.3,29.9,31.3,32.4,10.2,12.7,2.5,19.4,0,0,0,0,0,0,4
01031,AL,Coffee,13.3,12.6,32.1,29.9,32.4,16.6,15.2,-1.4,19.4,6,4,-33.3333333333333,0.128188693757211,0.0780457348005931,-39.1165222820573,3
01033,AL,Colbert,13.4,13.7,33.1,32.2,32.4,14.7,15.7,1,19.4,3,5,66.6666666666666,0.0549390176903637,0.0918341108621386,67.1564485912647,4
01035,AL,Conecuh,16.7,17.7,33,36.3,32.4,18.9,20.1,1.2,19.4,0,0,0,0,0,0,3
01037,AL,Coosa,15.1,15.6,33.8,34.3,32.4,8.6,16.9,8.3,19.4,0,0,0,0,0,0,4
